symbol 0
1 0 0.06
1 1 0.16
1 2 0.40
1 3 0.63
1 4 0.75
1 5 0.77
1 6 0.77
1 7 0.75
1 8 0.65
1 9 0.43
1 10 0.18
1 11 0.06
2 0 0.20
2 1 0.40
2 2 0.70
2 3 0.87
2 4 0.86
2 5 0.81
2 6 0.81
2 7 0.84
2 8 0.87
2 9 0.75
2 10 0.43
2 11 0.20
3 0 0.40
3 1 0.66
3 2 0.89
3 3 0.81
3 4 0.57
3 5 0.42
3 6 0.42
3 7 0.53
3 8 0.76
3 9 0.87
3 10 0.65
3 11 0.39
4 0 0.55
4 1 0.83
4 2 0.91
4 3 0.59
4 4 0.24
4 5 0.09
4 6 0.09
4 7 0.22
4 8 0.55
4 9 0.85
4 10 0.75
4 11 0.50
5 0 0.55
5 1 0.83
5 2 0.91
5 3 0.59
5 4 0.24
5 5 0.09
5 6 0.09
5 7 0.22
5 8 0.55
5 9 0.86
5 10 0.77
5 11 0.53
6 0 0.40
6 1 0.66
6 2 0.89
6 3 0.81
6 4 0.57
6 5 0.41
6 6 0.39
6 7 0.50
6 8 0.75
6 9 0.91
6 10 0.75
6 11 0.50
7 0 0.20
7 1 0.40
7 2 0.70
7 3 0.87
7 4 0.87
7 5 0.83
7 6 0.79
7 7 0.84
7 8 0.96
7 9 0.93
7 10 0.66
7 11 0.39
8 0 0.06
8 1 0.16
8 2 0.39
8 3 0.62
8 4 0.76
8 5 0.82
8 6 0.85
8 7 0.92
8 8 1.0
8 9 0.87
8 10 0.51
8 11 0.23
9 0 0.01
9 1 0.04
9 2 0.14
9 3 0.26
9 4 0.34
9 5 0.41
9 6 0.53
9 7 0.76
9 8 0.96
9 9 0.76
9 10 0.37
9 11 0.11
10 0 0.0
10 1 0.0
10 2 0.02
10 3 0.05
10 4 0.07
10 5 0.14
10 6 0.35
10 7 0.70
10 8 0.87
10 9 0.64
10 10 0.26
10 11 0.06
11 0 0.0
11 1 0.0
11 2 0.0
11 3 0.00
11 4 0.04
11 5 0.18
11 6 0.48
11 7 0.82
11 8 0.86
11 9 0.50
11 10 0.15
11 11 0.03
12 0 0.0
12 1 0.0
12 2 0.00
12 3 0.04
12 4 0.16
12 5 0.41
12 6 0.72
12 7 0.91
12 8 0.75
12 9 0.34
12 10 0.07
12 11 0.01
13 0 0.0
13 1 0.0
13 2 0.02
13 3 0.11
13 4 0.36
13 5 0.68
13 6 0.92
13 7 0.87
13 8 0.51
13 9 0.16
13 10 0.02
13 11 0.0
14 0 0.0
14 1 0.0
14 2 0.03
14 3 0.16
14 4 0.43
14 5 0.71
14 6 0.82
14 7 0.64
14 8 0.27
14 9 0.04
14 10 0.0
14 11 0.0
15 0 0.0
15 1 0.0
15 2 0.03
15 3 0.14
15 4 0.35
15 5 0.52
15 6 0.52
15 7 0.35
15 8 0.11
15 9 0.01
15 10 0.0
15 11 0.0


